data_movimento, data_nf, codnota, numfilial, codbarra, codproduto, produto, codcor, codtamanho, quantity, price, valor_total, custo_medio, fufilled_quantity, total_sold_quantity, outbound_quantity, status, last_nota_status, codfilial
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15602, 21102, 4038986638517, TPV-GK500D84B/FG, 219249, 000, U, 5.0, 229.92, 1149.6, 246.05, 5.0, 5.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15603, 21102, 4038986638548, TPV-AGM700DRCB/FG, 219244, 000, U, 20.0, 167.55, 3351.0, 179.3, 20.0, 3.0, -17.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61047, 21102, 7898620271046, TPV-24G2/BK, 219255, 000, U, 3.0, 684.33, 2052.9900000000002, 681.24, 3.0, 3.0, 0.0, f, f, TPV 
2023-11-01 00:00:00, 2023-10-26 00:00:00, 17409, 21102, 7898620271046, TPV-24G2/BK, 219255, 000, U, 15.0, 666.21, 9993.150000000001, 645.66, 0, 3.0, -15.0, e, f, TPV 
2023-12-16 00:00:00, 2023-12-16 00:00:00, 78830, 21102, 7898620271046, TPV-24G2/BK, 219255, 000, U, 1.0, 999.0, 999.0, 645.66, 0, 3.0, -16.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15604, 21102, 4038986638524, TPV-AGK700D81B/FG, 219243, 000, U, 5.0, 575.47, 2877.3500000000004, 615.83, 5.0, 1.0, -4.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61052, 21102, 7898620270643, TPV-24P1U, 219259, 000, U, 5.0, 713.14, 3565.7, 709.92, 5.0, 10.0, 5.0, f, f, TPV 
2023-08-01 00:00:00, 2023-08-01 00:00:00, 78231, 21102, 7898620270643, TPV-24P1U, 219259, 000, U, 2.0, 1129.0, 2258.0, 709.92, 2.0, 10.0, 3.0, f, f, TPV 
2023-08-21 00:00:00, 2023-08-11 00:00:00, 64327, 21102, 7898620270643, TPV-24P1U, 219259, 000, U, 5.0, 706.85, 3534.25, 703.66, 5.0, 10.0, -2.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15609, 21102, 4038986638999, TPV-GH210RA1B/FG, 219247, 000, U, 12.0, 168.38, 2020.56, 190.43, 12.0, 12.0, 0.0, f, f, TPV 
